Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
China,CHN,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.8825
"Hong Kong SAR, China",HKG,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.552199
Mexico,MEX,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.692947
Philippines,PHL,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.93513
Poland,POL,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.144156
Thailand,THA,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.23374
"Taiwan, China",TWN,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.96445
Brazil,BRA,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",9.274048
China,CHN,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.972592
"Hong Kong SAR, China",HKG,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.898266
Mexico,MEX,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",7.897516
Philippines,PHL,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.813064
Poland,POL,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",14.41432
Thailand,THA,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.073838
"Taiwan, China",TWN,2022,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.940735
Brazil,BRA,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.592313
China,CHN,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.217907
"Hong Kong SAR, China",HKG,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.096774
Mexico,MEX,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.525992
Philippines,PHL,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.999711
Poland,POL,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",11.38762
